artist,year,words,syllables,sentiment,ttr
Drake,2015,1872,475,-2.25,0.43989071
Drake,2015,4519,1177,2.45,0.44579646
Drake,2015,1676,429,-1.1,0.409470752
Drake,2015,3598,950,-9.8,0.359637775
Drake,2015,2860,717,-0.75,0.271157168
Drake,2015,2678,678,-3.85,0.41020794
Drake,2015,2839,784,-0.2,0.332720588
Drake,2015,2411,649,-4.9,0.354124748
Drake,2015,2270,578,3,0.267893661
Drake,2015,2266,581,-2.2,0.364224138
Drake,2015,2886,742,-1.1,0.243006993
Drake,2015,2623,660,0.85,0.433264887
Drake,2015,2868,738,-8.7,0.220713073
Drake,2015,3683,934,-4.45,0.481118881
Drake,2016,2571,640,2.7,0.372137405
Drake,2016,1755,444,2.5,0.417098446
Drake,2016,2867,715,-0.5,0.395
Drake,2016,1464,359,0.8,0.320634921
Drake,2016,2509,661,-1.65,0.409433962
Drake,2016,3770,960,11.25,0.470822281
Drake,2016,3416,862,3.4,0.353535354
Drake,2016,1307,334,-0.8,0.393258427
Drake,2016,2409,611,-1.35,0.345381526
Drake,2016,1837,467,2.85,0.361179361
Drake,2016,1966,506,0.3,0.379310345
Drake,2016,1906,487,4.4,0.288508557
Drake,2016,2951,743,0.3,0.345659164
Drake,2016,2740,671,5.3,0.330388693
Drake,2016,2044,514,-1.7,0.433333333
Drake,2016,2499,643,3.95,0.298892989
Drake,2016,331,86,2.55,0.5
Drake,2016,1607,453,2.35,0.370919881
Drake,2016,2969,765,-0.35,0.486970684
Drake,2016,2108,511,0.15,0.277904328
Drake,2017,2133,509,2.15,0.198294243
Drake,2017,3177,797,-4.65,0.383411581
Drake,2017,3616,913,2.5,0.462050599
Drake,2017,2241,563,1.95,0.325726141
Kanye,2004,320,87,3,0.746031746
Kanye,2004,3211,786,0.15,0.399688958
Kanye,2004,942,244,2.45,0.544041451
Kanye,2004,2439,614,4.25,0.501026694
Kanye,2004,547,154,1.9,0.403361345
Kanye,2004,3828,958,-3.05,0.396725441
Kanye,2004,2566,643,-10.9,0.451923077
Kanye,2004,4645,1183,14,0.447589099
Kanye,2004,4144,1044,-9.75,0.466507177
Kanye,2004,868,213,1.95,0.6
Kanye,2004,4012,1015,-0.55,0.381953028
Kanye,2004,3359,850,3.75,0.363247863
Kanye,2004,3435,849,-0.6,0.407355021
Kanye,2004,1307,337,7,0.535971223
Kanye,2004,1628,428,-2.55,0.518181818
Kanye,2004,732,180,1.65,0.493243243
Kanye,2004,678,175,2,0.607142857
Kanye,2004,3083,731,-4.95,0.506872852
Kanye,2004,3176,787,0.6,0.466360856
Kanye,2004,4015,978,13.3,0.357583231
Kanye,2004,12718,3268,15.75,0.263277693
Kanye,2005,701,186,1.9,0.544217687
Kanye,2005,2027,536,1.6,0.463476071
Kanye,2005,2775,706,2.4,0.435897436
Kanye,2005,2691,657,8,0.413854352
Kanye,2005,448,118,1.4,0.544554455
Kanye,2005,3533,892,0.5,0.453769559
Kanye,2005,990,252,-5.85,0.638190955
Kanye,2005,2502,671,-0.45,0.493303571
Kanye,2005,2166,536,2.6,0.484162896
Kanye,2005,1499,381,2.45,0.544871795
Kanye,2005,2353,618,-0.2,0.33805668
Kanye,2005,431,96,-0.15,0.186813187
Kanye,2005,2983,787,-1.25,0.505902192
Kanye,2005,2481,618,1.35,0.573440644
Kanye,2005,392,100,-0.9,0.623376623
Kanye,2005,2562,668,10.55,0.488593156
Kanye,2005,1570,396,2.7,0.398809524
Kanye,2005,1121,280,2.1,0.523148148
Kanye,2005,4826,1235,6.35,0.436436436
Kanye,2005,3553,956,-1.15,0.447674419
Kanye,2005,1998,501,-1.3,0.473557692
Kanye,2007,1508,381,-1.75,0.482269504
Kanye,2007,1892,482,3.65,0.429280397
Kanye,2007,2130,548,2.6,0.418013857
Kanye,2007,1540,378,1.35,0.420062696
Kanye,2007,2444,609,1.9,0.391221374
Kanye,2007,2027,520,-5.85,0.498817967
Kanye,2007,2527,658,-1.6,0.44015444
Kanye,2007,2498,585,2.5,0.338677355
Kanye,2007,1833,445,1.1,0.45915493
Kanye,2007,2333,628,0.15,0.407643312
Kanye,2007,3212,865,1.35,0.376790831
Kanye,2007,2567,647,1.7,0.351503759
Kanye,2007,3697,948,0.05,0.387261146
Kanye,2007,1861,472,7.2,0.384415584
Kanye,2007,2295,599,-11.65,0.401301518
Kanye,2007,2876,731,0.35,0.408333333
Kanye,2008,764,181,1.75,0.383233533
Kanye,2008,1203,313,2.5,0.371323529
Kanye,2008,1579,395,-1.3,0.489361702
