Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,BrewMethod
Grapefruit goodness,American IPA,20.82,1.067,1.013,7.01,145.73,13.11,28.39,60,70,All Grain
Fresh Squeezed Clone,American IPA,18.93,1.058,1.014,5.79,31.73,10.07,28.39,90,72,All Grain
Conundrum Session IPA,American IPA,18.93,1.047,1.014,4.22,51.37,5.4,17.03,60,35,extract
MoCitra IPA,American IPA,20.82,1.066,1.012,7.1,81.84,5.79,26.5,60,75,All Grain
Curmudgeon Cross Patch,American IPA,20.82,1.066,1.016,6.47,99.03,8.53,11.36,60,35,extract
Fossane Bryggeri - Stor Fløtteøl,American IPA,35,1.06,1.015,5.86,79.31,9.15,43,60,50,All Grain
Bakke IPA Clone,American IPA,25,1.066,1.013,7.02,69.27,8.47,29,60,70,BIAB
Svartediket IPA,American IPA,13,1.058,1.011,6.22,64.43,20.03,14,60,68,All Grain
Tropisk American IPA,American IPA,23,1.065,1.012,6.86,64.61,6.34,30,60,75,All Grain
Refur IPA,American IPA,20,1.062,1.016,6.11,68.97,8.81,27,60,64,All Grain
A little gem mk2,American IPA,24,1.054,1.009,5.84,97.04,9.46,30,60,75,BIAB
2 Hearted Clone,American IPA,37.85,1.063,1.013,6.5,54.83,6.96,43.91,60,65,All Grain
Every Night Baby!,American IPA,15,1.055,1.011,5.78,55.59,7.61,17.5,60,70,All Grain
Black Sunday IPA,American IPA,20.82,1.068,1.015,6.96,63.44,36.74,24.61,60,75,BIAB
Matt Staron - Julius Clone 5 Gallon Converte...,American IPA,18.93,1.063,1.017,5.99,96.34,6.42,28.39,60,65,All Grain
Goose IPA Clone,American IPA,18.93,1.055,1.011,5.88,83.28,8.69,9.46,60,35,extract
Rye of the Storm Smoked RyePA,American IPA,20.82,1.065,1.016,6.37,41.05,7.72,28.39,60,70,All Grain
Citrus IPA,American IPA,18.93,1.074,1.018,7.24,74.76,12.38,11.36,60,70,Partial Mash
Dhania,American IPA,20.82,1.058,1.014,5.66,131.73,13.81,28.39,60,75,All Grain
IPA,American IPA,20.82,1.061,1.012,6.49,79.45,6.9,15.14,60,60,Partial Mash
Rye ipa  poor mans dry hop,American IPA,21.77,1.07,1.01,7.79,88.68,4.27,26.5,60,80,extract
Véia Ranzinza,American IPA,20,1.067,1.013,7.03,74.92,9.83,26,60,65,BIAB
Mini Mash Spacedust IPA,American IPA,20.82,1.071,1.011,7.88,64.42,5.48,20.82,60,75,Partial Mash
Sierra Nevada Celebration Clone 2013 (AG)...,American IPA,20.82,1.069,1.018,6.71,77.28,10.22,28.39,90,75,All Grain
Coconut Corey's IPA,American IPA,20.82,1.057,1.014,5.61,96.62,7.19,28.39,60,70,All Grain
Indifferent IPA,American IPA,20.82,1.06,1.012,6.25,70.24,12.34,26.5,60,70,All Grain
SchuBrew IPA #2,American IPA,20.82,1.06,1.015,5.89,75.83,7.22,28.39,60,70,All Grain
Marks Ryepa,American IPA,22.71,1.068,1.019,6.51,113.09,4.17,30.28,60,85,All Grain
4Gs IPA 2.0,American IPA,19.68,1.058,1.01,6.32,63.4,7.74,26.5,60,71,All Grain
Basil's Burnt IPA,American IPA,18.93,1.069,1.009,7.86,0,17.23,18.93,60,75,Partial Mash
NEIPA X-1,American IPA,9.46,1.062,1.011,6.68,67.61,6.05,13.25,60,80,BIAB
Sweet Brother Brew IPA,American IPA,42,1.07,1.015,7.13,41.16,6.13,46,60,73,All Grain
Citra Palota,American IPA,22,1.073,1.02,6.91,82.7,6.93,28.5,60,72.7,All Grain
PNØK,American IPA,52,1.05,1.008,5.47,70.51,6.12,55,90,63,All Grain
