Phone,Year,Sex,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,Facebook,Twitter,Computer,SocialMedia,Class,Term
2886,2,M,71,165,No,right,2,1,20,2,3.58,2,No,No,10,6148,Olympic,0,No,70,100,Yes,Mac,Snapchat,2,Spring19
2906,1,M,71,185,No,right,3,3,23,1,3,17,No,Yes,5,909,Nobel,2,Yes,68,3000,Yes,PC,Twitter,2,Spring19
1152,1,F,69,155,No,left,1,2,50,7,3.3,7,No,Yes,15,5237,Olympic,2,No,73,0,No,Mac,Snapchat,2,Spring19
8073,2,M,68,158,Yes,right,3,4,30,7,3.3,5,Yes,Yes,8,2424,Nobel,0,No,63,1000,Yes,Mac,Instagram,2,Spring19
1911,1,F,65,125,No,right,1,1,20,2.5,3.06,2,No,Yes,3,2478,Olympic,2,No,68,0,No,PC,Snapchat,2,Spring19
1584,1,M,NA,NA,No,right,NA,1,12,18,NA,NA,No,No,5,1576,Nobel,NA,NA,NA,0,Yes,NA,Other,2,Spring19
2789,1,F,64,131,No,right,5,2,130,7,3.1,6,No,No,3,1345,Academy,5,No,65,500,Yes,Mac,Instagram,2,Spring19
6022,4,F,69,160,No,right,2,3,60,2.5,3.5,2,No,No,8,7321,Nobel,2,No,80,500,No,Mac,Snapchat,6,Spring19
6827,2,M,71,170,No,right,0,1,15,5.5,3.6,16,Planning,Yes,8,1234,Olympic,0,No,60,650,Yes,Mac,Instagram,6,Spring19
9227,2,F,66,135,No,right,1,2,100,6,3.25,14,Yes,Yes,7,1200,Olympic,2,No,NA,NA,No,Mac,Snapchat,6,Spring19
2204,1,M,72,160,No,right,2,3,20,4.5,3.08,4,No,No,0,1234,Olympic,0,No,84,300,No,Mac,Instagram,6,Spring19
1445,1,F,64,130,No,right,1,2,NA,4.5,3.3,5,No,Yes,8,9576,Olympic,2,No,78,0,Yes,Mac,Snapchat,6,Spring19
8790,2,F,69,140,No,right,1,2,50,8.5,3,1,No,No,8,6666,Academy,2,No,79,150,Yes,Mac,Instagram,6,Spring19
1560,2,F,64,131,No,right,2,2,20,6,3.7,13,No,Yes,2,4753,Olympic,5,No,78,200,Yes,PC,Instagram,6,Spring19
3530,1,F,64,125,No,right,1,2,30,4,3.2,14,No,Yes,3,7639,Olympic,5,Yes,60,1092,Yes,Mac,Snapchat,6,Spring19
8792,4,M,71,170,No,right,1,1,12,6,3.5,3,No,No,0,2435,Olympic,0,No,82,800,No,Mac,Instagram,6,Spring19
4245,2,F,67,145,No,left,1,2,17,4,3.3,16,No,Yes,12,6792,Olympic,2,No,68,400,No,PC,Instagram,6,Spring19
9462,3,F,70,170,No,right,1,2,20,7,3.4,20,No,Yes,30,6994,Olympic,5,No,67,1000,No,PC,Facebook,6,Spring19
7979,2,M,74,210,No,left,4,2,50,5,3.81,30,No,Yes,20,1234,Olympic,0,No,80,1600,Yes,Mac,Instagram,6,Spring19
7066,2,F,64,185,No,right,1,2,0,1,3.3,1,No,No,5,1254,Nobel,6,Yes,66,500,No,Mac,Facebook,6,Spring19
5139,2,F,67,140,No,left,5,5,30,3,3.04,15,No,Yes,4,1259,Nobel,2,No,72,700,No,Mac,Snapchat,6,Spring19
5313,2,M,75,200,No,right,1,1,30,4,3.4,35,No,Yes,10,4212,Olympic,0,No,54,1000,No,Mac,Snapchat,6,Spring19
7752,1,M,73,180,No,right,2,2,25,3,3.4,7,Planning,No,12,9573,Olympic,0,No,64,100,Yes,Mac,Instagram,6,Spring19
3814,2,F,64,130,No,left,0,1,70,1.15,3.2,2.5,No,Yes,15,9465,Nobel,4,Yes,94,957,Yes,Mac,Snapchat,6,Spring19
4344,1,F,NA,125,No,right,2,1,38,2.5,2.8,4,No,Yes,5,3862,Olympic,2,No,55,240,No,Mac,Snapchat,6,Spring19
4161,2,M,80,245,No,right,1,2,20,7,3.32,35,No,Yes,14,4027,Olympic,0,No,56,558,Yes,Mac,Instagram,6,Spring19
4441,1,M,69,173,No,right,4,1,25,5,3.17,8,No,Yes,5,1253,Academy,0,No,69,0,Yes,PC,Twitter,6,Spring19
691,1,F,61,130,No,right,1,2,20,3.5,3.83,5,No,No,5,4621,Nobel,4,No,74,327,No,Mac,Snapchat,6,Spring19
1847,2,F,64,130,No,right,3,3,40,2.5,3.7,6,Yes,Yes,4,7354,Nobel,6,Yes,89,140,Yes,Mac,Snapchat,6,Spring19
1106,1,M,70,182,No,right,1,1,35,6,3.5,10,No,Yes,17,2979,Olympic,1,No,NA,120,Yes,Mac,Instagram,6,Spring19
1372,2,M,67,191,No,right,2,2,17,5,2.8,15,Yes,Yes,7,8035,Olympic,0,No,75,1200,No,Mac,Snapchat,7,Spring19
3048,1,M,71,170,No,right,1,1,30,4.5,3.75,25,No,Yes,14,2354,Nobel,0,No,80,500,Yes,Mac,Instagram,7,Spring19
7858,4,M,70,160,No,right,1,1,15,3,3.78,3,No,No,6,1687,Nobel,0,No,70,400,No,Mac,Snapchat,7,Spring19
8990,2,F,67,150,No,right,1,2,0,6,3.5,3,No,No,1,3749,Olympic,5,Yes,70,800,No,Mac,Instagram,7,Spring19
7765,2,M,65,135,No,right,1,2,14,4,3.3,4,No,No,3,6538,Academy,0,No,84,500,Yes,PC,Snapchat,7,Spring19
3837,1,M,72,180,No,right,2,3,35,17,3.75,8,No,No,3,5463,Olympic,0,No,63,700,No,Mac,Instagram,7,Spring19
8900,1,F,63,110,No,right,1,2,27,3,3.67,0,No,No,21,6744,Academy,0,Yes,96,13,No,PC,Snapchat,7,Spring19
2465,1,F,64,150,No,left,3,4,35,8,3.9,2,No,No,10,3678,Olympic,2,No,70,200,Yes,Mac,Instagram,7,Spring19
1074,2,F,66,140,No,right,1,2,10,5,3.39,10,No,Yes,5,8491,Olympic,0,No,65,200,No,Mac,Snapchat,7,Spring19
9670,1,F,62,140,No,right,1,1,65,5.75,3.5,18,Yes,Yes,3,5482,Olympic,4,No,70,500,No,Mac,Snapchat,7,Spring19
279,2,F,62,144,Yes,right,2,1,3,12,3,5,No,No,5,1111,Nobel,4,No,72,1000,No,PC,Snapchat,7,Spring19
4003,4,M,72,135,Yes,right,2,1,20,8,3.3,9,No,No,20,8364,Nobel,1,Yes,80,400,No,PC,Instagram,7,Spring19
6177,1,M,73,180,No,right,3,1,25,7,3.5,10,No,Yes,9,2525,Olympic,0,No,64,100,Yes,Mac,Snapchat,7,Spring19
1494,3,M,73,170,Yes,left,3,3,0,4.5,3.5,0,No,No,4,6290,Nobel,2,Yes,56,954,No,Mac,Facebook,7,Spring19
9862,1,M,67,166,No,right,1,1,12,3.5,3,8,Planning,Yes,3,6745,Academy,0,No,75,0,Yes,Mac,Snapchat,7,Spring19
7308,1,M,70,147,No,right,3,3,26,6,2.7,18,No,Yes,0.5,2242,Olympic,1,Yes,78,65,Yes,Mac,Snapchat,7,Spring19
7558,1,M,71,145,No,right,1,2,20,14,2.9,8,No,Yes,14,6845,Olympic,0,No,106,75,Yes,Mac,Snapchat,7,Spring19
9204,2,M,69,160,Yes,left,1,2,12,6,3,8,Planning,Yes,10,1234,Olympic,0,No,60,500,No,Mac,Facebook,7,Spring19
8027,1,F,61,124,No,right,3,1,20,6,3,0,No,No,5,7484,Nobel,0,No,93,100,No,PC,Other,7,Spring19
6479,2,F,63,110,No,right,1,2,45,6,3.32,5,Yes,No,5,2323,Academy,3,Yes,64,900,No,Mac,Other,7,Spring19
6214,2,F,63,125,No,right,2,3,20,7,3.3,0,Yes,No,4,6578,Nobel,3,No,72,500,No,Mac,Instagram,7,Spring19
3800,2,F,69,140,No,right,5,6,120,3.5,3.48,3,Yes,No,4,8817,Nobel,2,No,75,1371,No,Mac,Snapchat,7,Spring19
6692,2,M,77,183,No,right,3,2,35,2,NA,8,Planning,No,10,6473,Olympic,0,No,65,987,No,Mac,Instagram,8,Spring19
4044,2,M,72,170,No,right,1,2,30,4,3.4,15,No,Yes,12,7642,Nobel,0,No,72,0,No,Mac,Snapchat,8,Spring19
7803,4,F,60,125,No,right,0,1,0,3.25,3.72,12,No,No,10,4376,Olympic,11,Yes,60,800,Yes,Mac,Instagram,8,Spring19
1802,1,M,77,210,No,right,4,3,30,6,3.6,5,Planning,Yes,4,4286,Nobel,0,No,62,500,Yes,Mac,Instagram,8,Spring19
5479,2,M,69,144,No,right,1,1,18,4,3.4,6,No,No,6,4384,Olympic,0,No,80,350,No,Mac,Instagram,8,Spring19
5313,1,M,72,150,No,right,2,3,35,3,3.93,8,No,No,5,4791,Olympic,0,No,60,230,No,Mac,Snapchat,8,Spring19
1762,1,F,66,150,No,right,1,2,150,8,3.8,2,Planning,No,2,8188,Academy,2,No,78,250,Yes,Mac,Snapchat,8,Spring19
8566,1,F,66,150,No,left,2,3,30,2.5,3.44,7,No,No,10,7543,Nobel,5,Yes,90,150,Yes,Mac,Snapchat,8,Spring19
9570,1,F,68,143,No,right,1,1,325,10,NA,8,Planning,No,7,8888,NA,7,No,63,980,Yes,Mac,Instagram,8,Spring19
2537,2,M,73,170,Yes,right,1,2,50,7,3.6,2,Planning,No,5,7391,Nobel,0,No,78,800,Yes,Mac,Snapchat,8,Spring19
2927,1,M,71,170,No,right,1,2,10,0.5,3.4,3,No,No,15,2214,Olympic,0,No,NA,100,Yes,Mac,Snapchat,8,Spring19
7570,1,F,65,150,No,right,1,1,65,6,3.44,5,No,No,10,6394,Olympic,2,No,75,542,No,Mac,Instagram,8,Spring19
1032,2,F,65,145,Yes,right,0,1,30,2.5,3.46,0,No,No,20,1708,Nobel,4,Yes,36,331,Yes,Mac,Instagram,8,Spring19
9906,1,F,64,118,No,right,0,1,190,3,2.5,2,No,No,5,7350,Nobel,12,Yes,66,2500,Yes,Mac,Snapchat,8,Spring19
7534,1,F,64,156,No,right,3,1,60,6,3.89,6,No,Yes,10,9830,Nobel,5,No,62,187,Yes,Mac,Snapchat,8,Spring19
6370,3,M,72,184,No,right,1,2,21,1.25,3.82,4.5,No,No,3,6719,Nobel,0,No,65,250,No,Mac,Snapchat,8,Spring19
5891,1,M,71,200,No,right,1,1,0,3,3.4,10,No,Yes,5,9182,Olympic,0,No,70,500,Yes,PC,Snapchat,8,Spring19
2456,1,F,61,147,No,right,1,1,0,7,2.7,4,No,No,18,2210,Nobel,2,No,65,200,Yes,Mac,Instagram,8,Spring19
5545,1,M,72,150,No,right,2,3,20,6.5,2.9,6,Planning,No,4,6787,Nobel,0,No,68,500,Yes,Mac,Instagram,8,Spring19
614,1,F,68,150,Yes,right,2,2,75,6,3.44,3,Planning,No,10,6729,Nobel,10,No,72,987,No,Mac,Snapchat,8,Spring19
3223,1,M,75,173,No,right,3,2,20,12,3.25,10,No,Yes,4,8756,Olympic,0,No,65,900,Yes,Mac,Snapchat,8,Spring19
6569,1,M,77,140,No,right,2,1,25,4.5,3.1,2,No,No,15,3580,Nobel,0,No,100,500,No,PC,Instagram,8,Spring19
7274,1,F,NA,100,No,right,0,1,35,24,3.5,5,No,No,10,6549,Academy,5,No,NA,15,No,Mac,Snapchat,8,Spring19
6782,1,F,64,116,Yes,right,0,1,80,1,3.3,3,Planning,Yes,5,1265,Nobel,4,No,92,300,No,Mac,Instagram,8,Spring19
7108,1,M,67,165,Yes,right,2,3,6,18,3.5,1,No,No,15,6438,Nobel,0,No,75,1078,No,PC,Facebook,8,Spring19
